# Endlink Bedrock block joining faces. Generated: do not edit by hand.
#
# One line per Bedrock block state that a fence, glass pane, iron or copper bar or wall reaches out
# to, and nothing for the ones none of them touch. The id is the hashed block network id a 1.26.40 to
# 1.26.45 backend sends; the word is sixteen bits, one per side and joining kind, laid out exactly as
# Java's own rule answers it: bit (side * 4 + kind) is set when a joining block of that kind standing
# on that side of this block reaches it. Sides are north, south, west, east in that order, and the
# kinds are 0 wooden fence, 1 glass pane and bar, 2 wall, 3 nether brick fence.
#
# Provenance. The facts are Java's, because 1.26.50's minecraft:connection_* states exist for parity
# with Java, and they were extracted by running the official Java server's own connectsTo and
# attachsTo against its own registry for every block state on every side - not by restating the rule.
# That extraction, and the Bedrock-to-Java block-state mapping used to key it by Bedrock id, are both
# Apache-2.0 generated artifacts of the viaendlink-next project:
#
#   viaendlink-next  java-protocol-latest/.../java-776-connections.txt   (tools/GenerateJava776Connections.java)
#   viaendlink-next  endlink-plugin/.../bedrock-2168-blocks.txt          (tools/GenerateBedrockBlockMapping.java)
#
# whose own inputs are Mojang's official Java server and block report, CloudburstMC/Data's Bedrock
# 2168 block palette (Apache-2.0) and GeyserMC/mappings (MIT). No GPL-licensed work is involved at
# any step, which the licence separation in WORKSPACE.md requires.
#
# Checked on generation against blocks whose answer is known from Java's source: stone, dirt and
# glass are reached on all four sides by every kind; barrier is reached by none, because Java's
# isExceptionForConnection excludes it; an oak fence is reached by fences and by nothing else; and a
# glass pane is reached by panes and walls but never by a fence.
bedrock 2169
kinds 4
faces 8593
face -2092918798 ffff
face -2092723933 6666
face -2091230219 6666
face -2090599856 6666
face -2090542851 0f00
face -2090539382 6666
face -2090204428 ffff
face -2089009878 6666
face -2088896217 6666
face -2088811477 6666
face -2087970955 6666
face -2087924542 6666
face -2087877184 6666
face -2084945620 6666
face -2084730898 ffff
face -2084542194 6666
face -2084497296 00f0
face -2084184552 6666
face -2083919271 6666
face -2083701372 ffff
face -2083539134 000f
face -2083012876 6666
face -2082425525 6666
face -2079131129 6666
face -2078592201 6666
face -2077667897 6666
face -2077491581 000f
face -2076452442 ffff
face -2075178900 ffff
face -2074415234 6666
face -2073519425 6666
face -2072820563 0f00
face -2072761405 6666
face -2071735683 000f
face -2071506438 6666
face -2070454941 6666
face -2069514387 0f00
face -2068685259 6666
face -2068542287 ffff
face -2067968263 000f
face -2067282964 6666
face -2066538703 6666
face -2065576938 00f0
face -2064540801 ffff
face -2064431445 6666
face -2063925701 6666
face -2063904026 6666
face -2063795888 ffff
face -2063626447 6666
face -2062564450 6666
face -2061109248 ffff
face -2059865550 6666
face -2059393425 6666
face -2058481049 6666
face -2058060364 0f00
face -2057649666 6666
face -2057297989 6666
face -2056945279 6666
face -2056385967 6666
face -2055574132 6666
face -2054340961 6666
face -2053961332 0f00
face -2053918509 6666
face -2052870912 6666
face -2052812709 ffff
face -2052412946 6666
face -2051158144 ffff
face -2050688219 6666
face -2050534635 ffff
face -2049769948 0f00
face -2049497876 6666
face -2049310753 000f
face -2048706660 f000
face -2048430543 6666
face -2048060680 6666
face -2047934869 ffff
face -2047787086 6666
face -2047765427 00f0
face -2047535287 6666
face -2047108768 ffff
face -2046512496 6666
face -2045829663 f000
face -2045672419 00f0
face -2045460026 0f00
face -2045350410 ffff
face -2045279355 ffff
face -2044361182 00f0
face -2043861218 6666
face -2043766760 6666
face -2042552004 00f0
face -2042359203 ffff
face -2041340568 ffff
face -2040923292 ffff
face -2040466142 6666
face -2040425017 6666
face -2040264409 6666
face -2040125822 6666
face -2038737358 ffff
face -2035297066 6666
face -2034837020 ffff
face -2034421605 f000
face -2033617845 ffff
face -2033617721 0f00
face -2033149740 6666
face -2032087509 6666
face -2031443975 ffff
face -2031357678 6666
face -2029167009 00f0
face -2029068028 f000
face -2028714701 6666
face -2028033275 6666
face -2028020879 00dd
face -2027925906 6666
face -2027598708 00dd
face -2027434956 ffff
face -2027374380 0f00
face -2026507961 6666
face -2026275957 6666
face -2026089632 6666
face -2025673481 6666
face -2025541009 0f00
face -2025229702 0f00
face -2024089553 00f0
face -2023765647 6666
face -2023580478 6666
face -2023175956 6666
face -2022951610 6666
face -2022226549 ffff
face -2022220708 ffff
face -2022064311 f000
face -2022053110 6666
face -2021659141 6666
face -2021311777 6666
face -2020840610 6666
face -2020654617 ffff
face -2019909152 6666
face -2018124658 6666
face -2017701205 ffff
face -2017678710 6666
face -2016494671 6666
face -2016331913 6666
face -2016284000 0f00
face -2016016758 00f0
face -2015704765 6666
face -2015619554 000f
face -2015100033 6666
face -2014831207 6666
face -2013413366 00f0
face -2013310305 000f
face -2012934563 6666
face -2012659724 6666
face -2011954485 6666
face -2011345740 f000
face -2010232554 6666
face -2008711919 6666
face -2008231033 6666
face -2007977059 6666
face -2007357360 6666
face -2007154008 00dd
face -2007067464 ffff
face -2005997541 6666
face -2005875845 6666
face -2005583252 6666
face -2005215849 6666
face -2004540531 6666
face -2003545972 6666
face -2002489585 dd00
face -2002434407 6666
face -2002366719 f000
face -2002024105 f000
face -2001983254 6666
face -2001264477 6666
face -2000820907 6666
face -1999326410 6666
face -1999167329 6666
face -1999023470 6666
face -1998124070 0f00
face -1997989420 00f0
face -1997861875 6666
face -1997588707 6666
face -1997213247 6666
face -1996523251 6666
face -1996046377 6666
face -1994835995 6666
face -1994765453 f000
face -1994288277 6666
face -1993773127 6666
face -1993329665 ffff
face -1992924945 6666
face -1992078145 ffff
face -1991072709 6666
face -1990190041 ffff
face -1990116753 0f00
face -1989577126 6666
face -1989059812 ffff
face -1988408772 6666
face -1987382109 6666
face -1986366388 6666
face -1985760884 6666
face -1985740955 6666
face -1985346545 00f0
face -1984416426 6666
face -1984330898 ffff
face -1983985203 00f0
face -1983804532 ffff
face -1983768826 ffff
face -1982886359 0f00
face -1982861421 6666
face -1982732074 6666
face -1981387748 6666
face -1980259399 00f0
face -1980151547 6666
face -1980104883 6666
face -1980067569 00f0
face -1979989320 6666
face -1978920113 6666
face -1978657877 f000
face -1974505241 000f
face -1974032485 ffff
face -1973795149 6666
face -1973362197 ffff
face -1972946782 f000
face -1972031892 6666
face -1971962955 6666
face -1971701246 6666
face -1971371089 6666
face -1970910147 ffff
face -1970813069 6666
face -1970575961 6666
face -1970045019 6666
face -1969969152 ffff
face -1969704402 6666
face -1969651600 6666
face -1969438989 6666
face -1968978697 6666
face -1967783320 6666
face -1967251423 6666
face -1967061057 0f00
face -1966931272 6666
face -1966435675 6666
face -1966276840 6666
face -1965078382 0f00
face -1964867649 6666
face -1964429887 6666
face -1964425027 6666
face -1963488452 6666
face -1962815644 6666
face -1961826404 ffff
face -1961331477 6666
face -1960751726 ffff
face -1960589488 0f00
face -1960183654 6666
face -1959716967 6666
face -1958409540 6666
face -1957999485 6666
face -1957788842 00f0
face -1955220645 6666
face -1954541935 0f00
face -1954279750 6666
face -1954226821 6666
face -1954035965 6666
face -1953927892 ffff
face -1953556539 6666
face -1953342608 6666
face -1952934309 6666
face -1952646300 6666
face -1952539403 00dd
face -1952477572 6666
face -1951828906 6666
face -1951528903 6666
face -1950932790 6666
face -1950347973 6666
face -1948706335 0f00
face -1948419918 6666
face -1948350001 6666
face -1948057701 6666
face -1946773038 6666
face -1946620043 6666
face -1946483869 6666
face -1946417836 6666
face -1946080983 6666
face -1945726565 6666
face -1945640889 ffff
face -1945503641 6666
face -1944877604 6666
face -1944241405 6666
face -1942520828 ffff
face -1942076688 f000
face -1941724256 6666
face -1941624516 ffff
face -1941367458 6666
face -1940549282 f000
face -1939985938 6666
face -1939407188 6666
face -1938086362 6666
face -1938001393 6666
face -1937861262 ffff
face -1937625530 6666
face -1937421266 6666
face -1936011459 00f0
face -1935587032 6666
face -1934717362 6666
face -1933877881 ffff
face -1933568489 ffff
face -1933290630 0f00
face -1932841786 6666
face -1931854842 ffff
face -1931360353 00f0
face -1931106736 6666
face -1930556105 6666
face -1930282729 ffff
face -1930234331 f000
face -1928715218 ffff
face -1928351032 6666
face -1928343470 0f00
face -1928175966 6666
face -1927720250 00dd
face -1927289229 ffff
face -1926938704 f000
face -1925846779 6666
face -1924625601 ffff
face -1923871722 000f
face -1923500017 6666
face -1922962778 6666
face -1922510380 000f
face -1922329709 ffff
face -1922226415 6666
face -1922170011 6666
face -1921692099 6666
face -1921449758 6666
face -1921411536 f000
face -1920719494 6666
face -1920063384 6666
face -1919809921 6666
face -1919641815 6666
face -1919414635 6666
face -1919169852 6666
face -1919159283 6666
face -1917893663 6666
face -1917606699 6666
face -1917288770 0f00
face -1917287212 6666
face -1916961686 6666
face -1916723360 6666
face -1916081299 6666
face -1915837725 00f0
face -1915731833 ffff
face -1915602396 6666
face -1915471364 6666
face -1915120396 6666
face -1913627327 00dd
face -1912557662 ffff
face -1911889569 6666
face -1911887374 ffff
face -1911471959 f000
face -1911070761 6666
face -1910524694 6666
face -1910470620 6666
face -1910418278 6666
face -1909171885 6666
face -1908998518 6666
face -1908700324 00f0
face -1908451502 6666
face -1907899354 00f0
face -1907745134 f000
face -1907247074 6666
face -1907185098 6666
face -1907095666 6666
face -1905444439 6666
face -1905076673 6666
face -1904957768 6666
face -1904789604 6666
face -1904702040 6666
face -1904324381 ffff
face -1904194007 6666
face -1903096855 6666
face -1902157121 6666
face -1900075358 6666
face -1900069249 6666
face -1899527197 0f00
face -1899485808 f000
face -1899276903 ffff
face -1899131801 ffff
face -1898583903 ffff
face -1896986321 00f0
face -1895856198 00f0
face -1895481032 6666
face -1894958067 0f00
face -1894947965 ffff
face -1894328858 6666
face -1894265096 6666
face -1893067112 f000
face -1893026891 f000
face -1891971646 6666
face -1891482951 0f00
face -1891468946 6666
face -1891146929 6666
face -1890345942 6666
face -1889750158 6666
face -1889679832 6666
face -1889152546 000f
face -1888199817 6666
face -1886255705 dd00
face -1886140621 f000
face -1885010767 00dd
face -1884855425 6666
face -1884622671 f000
face -1883907220 6666
face -1883773070 6666
face -1882668655 6666
face -1881315382 6666
face -1880233865 ffff
face -1879673725 6666
face -1879335635 6666
face -1879074459 f000
face -1878961207 6666
face -1877830390 6666
face -1877804140 6666
face -1877739812 6666
face -1877687001 6666
face -1877381005 6666
face -1877322999 6666
face -1876908075 6666
face -1875212205 ffff
face -1873042880 dd00
face -1872951875 6666
face -1872678012 6666
face -1872312325 6666
face -1871815807 00f0
face -1871802453 ffff
face -1870380019 ffff
face -1870022539 6666
face -1869885530 000f
face -1869849669 6666
face -1869834321 6666
face -1869155698 ffff
face -1868807906 ffff
face -1868141930 ffff
face -1867629139 000f
face -1867240395 ffff
face -1866616055 6666
face -1866611011 6666
face -1865690231 6666
face -1865535027 6666
face -1864741785 000f
face -1864687482 ffff
face -1864524097 ffff
face -1863628777 6666
face -1863184561 6666
face -1863032607 0f00
face -1862876009 6666
face -1862655091 ffff
face -1862396899 f000
face -1861869409 6666
face -1861723818 6666
face -1860854886 ffff
face -1860678456 6666
face -1860604901 6666
face -1860551581 00f0
face -1858936850 6666
face -1857113797 00f0
face -1854362902 000f
face -1854053033 6666
face -1853585753 6666
face -1853129806 6666
face -1852571138 0f00
face -1852412516 6666
face -1851785874 6666
face -1851082839 ffff
face -1850743405 6666
face -1850412551 ffff
face -1849997136 f000
face -1849243601 6666
face -1848572578 6666
face -1847062857 000f
face -1846759243 6666
face -1846182748 6666
face -1845949407 6666
face -1845028275 6666
face -1844999203 6666
face -1843072030 ffff
face -1842882595 6666
face -1842521692 6666
face -1841451179 6666
face -1841303566 6666
face -1840157732 6666
face -1839896994 ffff
face -1838052374 f000
face -1837802080 ffff
face -1837371991 0f00
face -1836720544 ffff
face -1835744141 6666
face -1835123221 6666
face -1834213697 6666
face -1833473142 ffff
face -1832026911 f000
face -1829000073 6666
face -1828741059 6666
face -1828650495 0f00
face -1828454911 6666
face -1828157336 6666
face -1826144687 6666
face -1826085835 6666
face -1825876712 6666
face -1825825386 00f0
face -1825647410 6666
face -1823539781 6666
face -1823386222 ffff
face -1823030468 f000
face -1822595721 6666
face -1822191971 6666
face -1822047407 6666
face -1821478581 6666
face -1820395317 6666
face -1819791243 6666
face -1819402704 00f0
face -1818883608 6666
face -1818759042 ffff
face -1818276676 ffff
face -1817730005 6666
face -1817599636 f000
face -1816891339 6666
face -1816828824 00f0
face -1816729862 ffff
face -1815855011 ffff
face -1815445680 6666
face -1814932087 0f00
face -1813737382 ffff
face -1813286327 6666
face -1812831533 6666
face -1812653781 ffff
face -1812278688 00f0
face -1811663522 6666
face -1811554918 6666
face -1810340984 000f
face -1809745289 6666
face -1809523283 6666
face -1808905196 ffff
face -1808499813 6666
face -1808410707 f000
face -1807333083 ffff
face -1806526169 000f
face -1806319251 00f0
face -1806232572 6666
face -1806089780 6666
face -1805765606 6666
face -1805765572 ffff
face -1804635343 ffff
face -1804559305 6666
face -1803414727 6666
face -1800922076 0f00
face -1800228270 6666
face -1800037121 ffff
face -1797830849 6666
face -1795638974 00f0
face -1794491803 6666
face -1794410397 6666
face -1794322772 6666
face -1793615178 6666
face -1793408655 6666
face -1792951935 6666
face -1792888079 f000
face -1792828495 6666
face -1792592592 6666
face -1792572930 6666
face -1792077499 6666
face -1791539677 6666
face -1789937515 6666
face -1789608016 ffff
face -1788937728 ffff
face -1788900855 0f00
face -1788195576 6666
face -1787955149 f000
face -1787208187 6666
face -1787020677 6666
face -1785588034 000f
face -1785543644 6666
face -1785357446 6666
face -1785092964 6666
face -1784100631 6666
face -1784014075 6666
face -1783296154 00f0
face -1782909873 6666
face -1782654012 ffff
face -1782624071 6666
face -1782137622 6666
face -1782029845 6666
face -1781908385 0f00
face -1781590713 6666
face -1781396281 dd00
face -1780981353 6666
face -1780400661 6666
face -1780062084 6666
face -1779897365 0f00
face -1779214532 ffff
face -1778778169 6666
face -1778517404 6666
face -1778430805 ffff
face -1778137609 6666
face -1777355495 6666
face -1776577551 000f
face -1776384441 f000
face -1776186870 6666
face -1775884438 000f
face -1774317765 6666
face -1773562195 6666
face -1773373731 6666
face -1772191178 6666
face -1771998319 ffff
face -1771108213 000f
face -1770359479 6666
face -1769549419 0f00
face -1769207965 6666
face -1768145207 6666
face -1767253317 6666
face -1766641001 0f00
face -1763941388 6666
face -1763798885 6666
face -1763722100 6666
face -1763396161 6666
face -1761752372 000f
face -1760755607 6666
face -1760243371 00f0
face -1760113824 6666
face -1759747226 6666
face -1758299648 6666
face -1757906557 6666
face -1757637796 0f00
face -1757284219 ffff
face -1757162362 ffff
face -1756521725 6666
face -1756489686 ffff
face -1755713739 6666
face -1754867658 00f0
face -1754602366 0f00
face -1754595340 6666
face -1754532785 6666
face -1754440204 6666
face -1754334832 6666
face -1753505438 6666
face -1753059499 0f00
face -1753011533 6666
face -1752914903 6666
face -1752795546 6666
face -1752444367 6666
face -1752262559 ffff
face -1751539784 6666
face -1751395606 0f00
face -1750568544 6666
face -1750398575 6666
face -1749582694 6666
face -1749485190 dd00
face -1747891362 6666
face -1747430373 ffff
face -1746935884 0f00
face -1745906810 6666
face -1745858260 ffff
face -1745051346 00f0
face -1744769761 f000
face -1744598484 ffff
face -1744545793 ffff
face -1743683539 6666
face -1743160520 ffff
face -1742560898 6666
face -1742338278 6666
face -1740640976 dd00
face -1740130395 6666
face -1739710385 ffff
face -1738932555 6666
face -1738620932 6666
face -1737983707 6666
face -1737731745 6666
face -1737374047 6666
face -1736630566 6666
face -1736116590 6666
face -1735976032 00f0
face -1734642958 6666
face -1734164151 00f0
face -1734015944 6666
face -1733634492 6666
face -1733549154 6666
face -1733215205 0f00
face -1731857025 f000
face -1731423597 6666
face -1731414763 00dd
face -1731413256 0f00
face -1731401425 00dd
face -1731127175 6666
face -1730922816 6666
face -1730540560 6666
face -1730125340 6666
face -1729442114 6666
face -1727866977 6666
face -1727433107 6666
face -1727237861 000f
face -1726990509 6666
face -1726883755 6666
face -1726559425 ffff
face -1725971715 ffff
face -1725269978 00f0
face -1724824586 ffff
face -1724113211 000f
face -1722988355 6666
face -1722372049 6666
face -1722320899 6666
face -1719919144 6666
face -1719449904 6666
face -1719087850 6666
face -1718489444 6666
face -1718478584 6666
face -1718466598 6666
face -1718170656 6666
face -1717982224 00dd
face -1717379038 00dd
face -1716955982 ffff
face -1715102728 00f0
face -1713342643 6666
face -1712920639 6666
face -1712054876 6666
face -1711085509 6666
face -1710535694 6666
face -1710523496 ffff
face -1710131222 6666
face -1710007245 ffff
face -1709633390 00f0
face -1709117648 ffff
face -1709108215 6666
face -1708782770 6666
face -1708323858 6666
face -1707930498 6666
face -1706730232 00f0
face -1706566298 6666
face -1706220693 ffff
face -1706133189 6666
face -1705679832 6666
face -1704536458 6666
face -1703414480 6666
face -1703263609 6666
face -1702889793 6666
face -1699063711 6666
face -1698528724 00f0
face -1697888641 6666
face -1696043347 6666
face -1696039890 00f0
face -1695809396 ffff
face -1695446781 6666
face -1695015914 ffff
face -1694845201 6666
face -1694730085 f000
face -1692796825 6666
face -1692712045 6666
face -1691422258 6666
face -1690919855 6666
face -1690801713 6666
face -1690787736 ffff
face -1690558492 ffff
face -1688536869 ffff
face -1688477468 6666
face -1688383933 000f
face -1686467994 6666
face -1685955550 ffff
face -1685908634 6666
face -1684379606 6666
face -1683576523 0f00
face -1683308459 6666
face -1683294938 0f00
face -1682678989 6666
face -1682282948 6666
face -1682185733 6666
face -1682095181 6666
face -1682024457 6666
face -1681805956 6666
face -1681757085 00f0
face -1681641920 6666
face -1681503351 6666
face -1681245092 6666
face -1680657350 6666
face -1679257753 6666
face -1678819542 000f
face -1678514527 6666
face -1678406538 6666
face -1678293066 6666
face -1677765049 6666
face -1676195536 ffff
face -1675930780 dd00
face -1675386809 6666
face -1674893936 0f00
face -1673099720 f000
face -1672689328 00f0
face -1672064587 f000
face -1671577317 6666
face -1671152292 6666
face -1670976640 f000
face -1670891785 6666
face -1670840872 00f0
face -1670382202 f000
face -1670109542 6666
face -1670007927 6666
face -1669531153 6666
face -1669450889 000f
face -1669203825 ffff
face -1667666610 6666
face -1667635237 dd00
face -1667388580 6666
face -1666962015 00dd
face -1666208608 6666
face -1666074167 00f0
face -1665763038 00f0
face -1665587493 6666
face -1664299308 6666
face -1663877640 6666
face -1663669110 6666
face -1663630844 6666
face -1662824988 6666
face -1662823409 0f00
face -1662736092 00f0
face -1662638388 000f
face -1661679165 6666
face -1661414041 f000
face -1660588029 ffff
face -1659978249 6666
face -1659923475 ffff
face -1658289503 0f00
face -1658278653 ffff
face -1657765794 ffff
face -1657580683 6666
face -1657376389 000f
face -1656528864 6666
face -1656429495 6666
face -1655481159 ffff
face -1655251031 ffff
face -1655005213 6666
face -1654645546 f000
face -1654357977 6666
face -1653725324 6666
face -1653718120 6666
face -1653611051 6666
face -1653025096 6666
face -1652997993 ffff
face -1652795160 6666
face -1651250724 ffff
face -1650855587 6666
face -1650282968 6666
face -1650050684 6666
face -1649617613 000f
face -1649415809 6666
face -1648444274 ffff
face -1648158567 0f00
face -1648134037 6666
face -1646727539 6666
face -1646231972 6666
face -1645434668 6666
face -1645245995 6666
face -1645054167 6666
face -1644771662 6666
face -1641220024 6666
face -1641102417 6666
face -1639871946 6666
face -1638248473 dd00
face -1637904426 6666
face -1637584736 6666
face -1636036873 f000
face -1635259888 ffff
face -1634895512 6666
face -1634752185 000f
face -1634642188 000f
face -1634316344 6666
face -1634193461 6666
face -1634186523 6666
face -1634105181 6666
face -1633895653 f000
face -1633780278 6666
face -1633776276 6666
face -1633360090 6666
face -1632933399 f000
face -1632397724 6666
face -1632343015 f000
face -1632208586 6666
face -1631721133 ffff
face -1631625729 6666
face -1631534400 6666
face -1631362830 6666
face -1630644109 0f00
face -1630634293 6666
face -1629221549 f000
face -1628943939 6666
face -1628138080 6666
face -1627515381 6666
face -1627197522 6666
face -1627062046 ffff
face -1626909110 00f0
face -1626522992 6666
face -1626325574 6666
face -1625515358 6666
face -1624292076 6666
face -1623878833 6666
face -1622616910 000f
face -1622213848 6666
face -1622101700 f000
face -1622020133 6666
face -1621820115 00f0
face -1620702397 6666
face -1620282262 000f
face -1620048795 6666
face -1619056334 dd00
face -1618841846 ffff
face -1618698115 6666
face -1618506537 0f00
face -1618125300 6666
face -1617820231 6666
face -1617686420 6666
face -1617534755 6666
face -1617276481 6666
face -1617160954 ffff
face -1615969708 6666
face -1615926272 6666
face -1615347892 6666
face -1615274447 6666
face -1615000945 6666
face -1614938923 6666
face -1614335316 ffff
face -1613353845 000f
face -1612961878 6666
face -1612517535 ffff
face -1611129014 6666
face -1610171762 6666
face -1609503049 6666
face -1609481652 6666
face -1609294634 6666
face -1608907379 f000
face -1608467821 6666
face -1608317640 6666
face -1607489833 6666
face -1606276411 6666
face -1606044165 6666
face -1605765811 6666
face -1605558764 00dd
face -1605508208 00f0
face -1604585207 6666
face -1604288215 0f00
face -1603183386 6666
face -1603103641 ffff
face -1602187459 6666
face -1601551939 00f0
face -1601356996 6666
face -1601139897 6666
face -1599939218 0f00
face -1599927515 000f
face -1599683010 6666
face -1599672078 6666
face -1599616215 6666
face -1598636950 6666
face -1596803830 ffff
face -1595706986 6666
face -1595518939 f000
face -1594901030 ffff
face -1594006336 ffff
face -1593736679 6666
face -1593678374 6666
face -1593154755 6666
face -1593009703 6666
face -1592102534 6666
face -1591523170 ffff
face -1590773804 6666
face -1590117313 ffff
face -1589708942 6666
face -1589473528 00f0
face -1589097980 6666
face -1588299125 000f
face -1587848529 6666
face -1587636229 ffff
face -1587194349 ffff
face -1586683744 f000
face -1586677524 f000
face -1586409640 6666
face -1586180662 6666
face -1586101407 6666
face -1585128622 00dd
face -1585089540 6666
face -1584579824 6666
face -1584135519 6666
face -1583173244 6666
face -1582997670 6666
face -1582735694 6666
face -1582304106 00f0
face -1581704898 6666
face -1581632929 6666
face -1581627902 000f
face -1579816334 6666
face -1575376783 6666
face -1574562050 f000
face -1574061298 6666
face -1572887699 6666
face -1572623129 dd00
face -1570854566 6666
face -1570260819 6666
face -1570246310 ffff
face -1569409446 6666
face -1568995096 6666
face -1568986124 6666
face -1568977665 6666
face -1566362421 ffff
face -1565587223 ffff
face -1565434287 0f00
face -1565213630 ffff
face -1565172011 6666
face -1565087330 6666
face -1564929092 f000
face -1564754402 6666
face -1564218629 6666
face -1564187623 ffff
face -1561868378 6666
face -1560835128 6666
face -1560674205 f000
face -1560526506 0f00
face -1560388889 6666
face -1560345292 000f
face -1559277526 ffff
face -1559117034 f000
face -1558935526 ffff
face -1558807439 f000
face -1558529943 f000
face -1557929427 6666
face -1557031714 f000
face -1556372379 6666
face -1556242692 6666
face -1555985789 0f00
face -1555839298 6666
face -1555613074 ffff
face -1554668521 6666
face -1554387756 6666
face -1553814652 6666
face -1552349706 6666
face -1550639622 6666
face -1550421393 dd00
face -1548740555 6666
face -1548544273 6666
face -1547986098 6666
face -1547913316 6666
face -1547823433 6666
face -1547498190 6666
face -1547432556 f000
face -1546088190 6666
face -1544483523 6666
face -1543720347 6666
face -1543637008 ffff
face -1542813392 f000
face -1542242749 000f
face -1541758546 f000
face -1541723766 6666
face -1541669687 6666
face -1541628818 ffff
face -1541544585 6666
face -1541453822 000f
face -1541375210 6666
face -1541113382 6666
face -1540662080 6666
face -1540286469 ffff
face -1539375800 6666
face -1539185341 ffff
face -1538946464 6666
face -1538785618 ffff
face -1538481838 6666
face -1538464395 00f0
face -1538446298 6666
face -1537441501 00f0
face -1537241273 6666
face -1536315484 6666
face -1535329007 ffff
face -1534102047 f000
face -1532847068 ffff
face -1532125979 6666
face -1531605036 ffff
face -1531239643 6666
face -1530675323 6666
face -1530048347 ffff
face -1529926825 6666
face -1529395049 6666
face -1529382237 6666
face -1528608676 6666
face -1528486317 6666
face -1527462776 6666
face -1527180805 6666
face -1526824302 00f0
face -1525985094 6666
face -1525719526 ffff
face -1525077530 6666
face -1524541753 6666
face -1522367467 f000
face -1521796735 6666
face -1521009196 000f
face -1520853591 6666
face -1519357057 6666
face -1517502162 6666
face -1517274671 6666
face -1517034503 6666
face -1516877112 6666
face -1516780975 00f0
face -1516698327 6666
face -1516675451 6666
face -1516566704 00f0
face -1515658288 6666
face -1515631158 6666
face -1515619354 f000
face -1515605210 6666
face -1515226353 6666
face -1514653455 000f
